gene	common
SL0710	nei
SL2488	ndk
SL2623	yfiO
SL2556	
SL1169	phoP
SL3581	yhjL
SL2563	gipA
SL1871	yecA
SL3494	
SL2512	asrC
SL4143	
SL4475	dnaT
SL1558	
SL3766	emrD
SL1552	ydcG
SL2904	nlpD
SL2941	gudD
SL3891	hemX
SL0216	map
SL1449	marA
SL2588	
SL3321	degS
SL2465	ppx
SL1097	solA
SL2265	ais
STnc1430	
SL0881	ybjZ
SL1206	yeaR
SL3431	prkB
SL0880	ybjY
SL1176	icdA
SL1612	tpx
SL3355	panF
SL3662	
SL3150	ygiW
SL3933	fre
STnc3570	
SL3477	comF
SL3820	phoU
SL4507	nadR
SL3282	yrbC
SL1808	
SL2179	yeiH
SL4174	lexA
SL1751	yoaB
SL0261	sciB
SL0405	
SL1563	
SL1947	
SL4452	yjiS
SL0953	
SL0978	
SL1053	scsB
SL3223	garD
SL1844	argS
SL0394	brnQ
SL2307	pta
SL2171	yeiG
SL1322	orf7
SL1234	gdhA
SL3659	lctD
SL3773	yidH
SL3238	yraN
STnc3530	
SL4230	yjdB
SL2645	gpB
SL3534	ftsX
STnc4250	
SL0828	rimO
SL1641	yciS
SL1702	sirC
SL3271	greA
STnc1480	
SL3660	yibK
SL4062	frwB
SL1144	ycfM
SL1460	hypA
SL3528	livM
SL2660	smpB
SL1774	prc
SL2278	menD
SL1301	ydiH
SL0510	gcl
SL3588	yhjT
SL0047	ileS
SL1843	yecM
SL3289	yrbK
SL1496	sfcA
SL1883	fliY
SL0395	proY
SL3878	wzzE
SL2906	surE
SL3868	ilvY
SL1538	tehB
SL4354	iolA
SL4402	ytgA
SL0765	hutG
SL2750	
SL3930	tatD
SL0312	pepD
SL1002	uup
SL3686	yibR
SL3303	gltD
SL1769	yobG
SL4173	dgkA
SL0208	mtn
SL3705	ligB
SL0838	yliJ
SL4240	dcuR
SL0794	
SL0313	gpt
SL3556	uspA
SL2140	yehW
SL1248	celB
SL3789	torC
SL0539	fimD
SL0796	rhlE
SL2216	
SL2300	yfbQ
SL3788	torA
SL3914	rhtB
SL4019	cdh-b
SL4462	yjiX
SL0066A	
SL2395	ptsI
SL4331	cycA
SL3044	fba
SL0597	ahpF
SL3349	yhdH
SL2281	elaA
SL4458	mrr
STnc3630	
IsrF	
SL1249	celC
SL4369A	
SL1673	oppF
SL3099	
SL3162	ygiC
SL1679	ychE
SL0190	hrpB
SL0620	tatE
SraB	
SL0997	pepN
SL1210	yeaQ
SL0969	
SL3310	nanT
SL0604	rnk
SL3199	yqjA
sRNA9	
SL0255	dniR
SL0644	ybeS
SL0850	mdaA
SL3160	tolC
SL3427	
SL1838	yecE
STnc1660	
SL1950	
SL1515	ansP
SL3561	yhiR
SL1429	dmsA1
STnc4220	
SL0935	aspC
SL4448	yjiO
SL2920	yghJ
SL3945	dsbA
SL2440	yffH
SL0656	ybeX
SL3261	yhbC
SL3942	mobA
SL1757	yoaE
SL2572	
SL2589	
SL4190	uvrA
SL0503	sfbA
SL3200	yqjB
SL3222	garL
SL3582	bcsC
SL3509	gntR
SL0870	ybjR
SL3924	ubiE
SL3939	trkH
SL4472	mdoB
SL3432	yhfA
SL2952	exo
SL0841	ybjG
SL2644	
SL0420	phnV
SL0981	
SL2555	
SL3901	dapF
SL3283	yrbD
SL2145	dld
SL1041	hpaE
SL1335	sseD
SL3792	torS
SL1326	spiR
SL4157	pgi
IsrB-1	
DapZ	
SL3430	yheU
SL3937	pepQ
SL3545	
SL1434	ynfA
SL4439	
SL0179	yadI
SL1872	
SL2799	emrA
SL0412	nusB
SL4302	yjfH
SL3083	yggL
SL4342	ytfM
SL3213	tdcE
SL2194	yejB
SL4234	melR
SL0797	dinG
SL3024	ygfZ
SL1379	mliC
SL3819	yieH
SL3885	wzxE
SL0692	ybgI
SL0807	ybiF
SL1545	
SL1895	yedF
SL2955	fucP
SL3497	
SL3768	dsdC
SL1828	ruvB
SL3608	tag
SL0516	allB
SL1998	cbiN
SL4512	gpmB
SL3331	mdh
SL1876	uvrC
SL2393	cysK
SL2979	thyA
SL3948	engB
SL3448	trpS
SL0173	yadG
SL3439	ppiA
SL4172	plsB
SL1753	pabB
SL1940	
SL3224	
SL1647	yciN
STnc3010	
SL0308	yafK
SL0148	
SL4376	
SL3476	bioH
SL1183	pagD
SL1961	
SL3266	folP
SL4268	yjeI
SL4103	thiC
SL1687	purU
SL2411	yfeZ
SL1376	slyA
SL4050	metL
SL1697	ychN
SL0013	dnaJ
SL0146	ampD
SL3923	yigN
SL3075	yggS
SL1467	hyaB2
SL0626	rlpA
SL2144	bglX
SL0665	nagA
IsrM	
SL1077	csgF
SL1875	pgsA
SL2818	gutQ
SL2945	yqcB
SL3104	iraD
SL3152	ygiY
SL3775	hslS
SL2401	yfeK
SL3968	yihT
SL2325	ubiX
SL4253	
SL0493	ybbJ
SL0732	ybgF
SL1425	ynfI
SL0680	pgm
SL4083	coaA
SL4470	
SL0383	aroL
SL4510	trpR
SL4412	idnT
SL0521	allD
SL0763	ybhC
SL0878	ybjD
STnc3850	
SL1881	yecS
SL2652	corB
SL0212	yaeH
SL1956	
SL4504	smp
SL3714	yicH
SL0398	yajB
SL1754	yeaB
SL3776	hslT
SL4068	yijP
SL1672	
SL0938	
SL0424	phnR
SL3927	tatA
SL3643	
SL2378	yfeA
SL1061	
SL3175	ygiF
SL2188	yeiP
STnc3340	
SL1874	
SL0550A	cusA
SL2328	
SL2611	ung
SL0162	kdgT
SL3952	glnG
SL3676	rfaD
SL0245	rcsF
SL2530	yfhC
SL4106	hemE
SL2969	amiC
SL4039	menA
SL3079	yggW
SL0449	ybaX
SL3501	glgP
SL0195	fhuB
SL0987	
SL1575	ynbE
SL2826	hycH
SL3508	gntK
SL3621	glyQ
SL0884	clpA
SL2942	ygcY
SL0557	ybdG
SL3071	yqgE
SL4127	
SL2136	yehT
SL1461	
SL1281	aroH
SL2381	gltX
SL1266	
SL1553	
SL0525	arcC
SL1067	
RyfA	
SL1163	potA
SL3702	
SL3758	
SL4232	adiY
SL0028	bcfH
SL0112	leuB
SL1272	
SL0508	allA
SL3462	igaA
SL0425	phnW
SL0837	yliI
SL1330A	ssaE
SL2431	eutQ
SL4239	
SL2733	
SL2831	hycC
SL3163	ygiD
SL3324	oadA2
SL3825	
SL3482	malT
SL1135	pabC
SL2964	csdA
SL4178	
SL4508	yjjK
SL0866	artI
SL1252	celG
tpke11	
SL2037	gyrI
SL1812	exoX
SL3505	glgB
SraG	
SL4491	yjjV
SL4082	birA
SL0686	kdpC
SL0777	ybhK
SL3546	yhhS
SL0311	prfH
SL3541	zntA
SL1341	ssaH
SL3473	feoB
SL3610	bisC
SL3738	
SL1846	
SL0600	
SL0973	
SL1972	
SL4372	
SL0914	serC
SL0409	nrdR
SL0370	ampH
SL1218	yeaJ
SL2038	dacD
SL1021	
SL0605	rna
SL0306	gmhA
SL3312	yhcK
SL3272	dacB
SL2182	fruK
SL4031	yiiQ
SL1373	
SL4309	yjfC
SL4401	miaE
SL0374	yaiZ
SL3498	
SL2805	yqaB
SL1986	amn
SL1685	ychK
SL2408	ucpA
SL0512	garRa
SL0842	mdfA
SL3089	speC
STnc760	
SL3920	
SL4411	idnR
SL2238	yojN
SL2236	apbE
SL2315	
SL1664	
SL3466	yhgE
SL0239	yaeP
SL4221	SC4B5.11c
SL4419	
SL4201	soxS
SL1146	nagZ
SL2547	
SL3629	malS
SL0474	priC
SL1133	acpP
SL1046	hpaX
SL3444	cysG
SL1255	ydjN
STnc950	
SL3020	xerD
SL3922	udp
SL2301	
SL3257	truB
SL0909	sopD2
SL3932	yigC
SL1160	potC
SL3842	mioC
SL1378	anmK
SL2459	yfgE
SL4293	mutL
STnc1270	
SL0244	yaeB
SL3332	argR
IsrG	
SL0025	bcfE
SL0560	
SL0609	citF
SL1285	ydiT
SL2313	
SL2721	
SL2789	
SL3330	
SL3527	livG
SL0038	
SL0325	leuD2
SL0587	ybdB
SL1981	
SL3597	
SL4252	
STnc3390	
SL0378	yaiB
SL4292	amiB
SL2061	cpsB2
SL4314	yjfQ
SL1593	ynaJ
SL3625	xylB
SL2809	recA
SL3495	
SL4484	rsmC
SL0280	sciS
SL4378	
SL1321	ttrR
SL1223	
SL2565	
SL4471	
SL3168	ribB
SL0812	ybiS
SL1544	
SL4291	yjeE
SL1353	ssaR
SL0240	yaeQ
SL0504	sfbB
SL1932	
SL3752	yicN
SL2347	fabB
SL3065	metK
SL3110	uxuB
SL1000	
SL0624	ybeD
SL1700	kdsA
SL3749	
SL2511	asrB
SL4308	yjfM
SL3943	yihD
SL0007	talB
SL3019	dsbC
SL1706	hemM
SL3870	ppiC
SL3141	
SL2654	grpE
SL1402	rstB
SL3323	oadB2
SL1374	ydhJ
SL2417	eutR
SL0840	deoR
SL1942	
SL3774	yidE
SL1535	ydcN
SL1512	yddE
SL3220	garK
SL3562	gor
SL0678	ybfF
SL3320	degQ
SL3618	
SL2939	barA
SL2627	tyrA
SL2517	glyA
SL4321	sgaE
SL3131	yghA
SL2264	yfaO
SL4014	
SL1397	manA
SL3872	rep
SL0982	
SL1648	sohB
SL3366	yrdA
SL1174	
SL2609	yfiK
SL4476	
STnc1340	
SL0500	ybbA
SL3102	ordL
SL3455	comE
SL3970	yihV
STnc3480	
SL2099	udk
SL2169	yeiB
SL2803	gshA
SL2190	yeiU
SL0002	thrA
SL0498	ybbO
SL4289	yjeS
SL0985	
SL3969	yihU
SL0040	nhaA
SL1202	
SL3619	yafP
SL3973	rbn
SL2160	cdd
SL1723	
SL3732	
SL0844	
SL1207	yoaG
SL1408	ydgH
SL0623	lipB
SL0340	
SL2795	proW
SL3179	folB
SL4049	metB
STnc2110	
SL1340	ssaG
SL3480	malQ
SL1569	cybB
SL0417	ispA
SL2932	pyrG
SL1312	pykF
SL4509	slt
SL0404	
SL3301	yhcC
SL2058	gnd
SL0614	citB
SL2162	b2145
SL1089	yceK
SL1454	yneI
SL2975	comQ
SL3459	comA
SL2049	hisD
SL1013	yccS
SL1426	
SL0339	
SL4465	
SL4482	
SL3740	
SL0489	ybaP
SL2699	
SL3496	
SL1606	
SL3931	rfaH
SL3424	kefB
SL1693	narK
SL3206	yhaH
SL3622	
SL0365	prpD
SL0518	glxK
SL2502	hscB
SL2590	gpP
SL4454	symE
SL0912	ycaO
SL3254	nlpI
SL2986	tas
SL1625	sapD
SL3461	nudE
SL2183	fruB
SL1334	sseC
SL2983	mutH
SL3912	recQ
SL2968	mltA
SL1014	yccF
SL2205	yejM
SL4016	
SL3429	yheT
SL3147	plsC
SL1497	adhP
SL2784	
SL1065	
SL0351	
SL0971	
SL2557	
SL1132	fabG
SL3615	cspA
SL2624	yfiA
SL2715	
SL0113	leuA
SL3281	yrbB
SL0169	cueO
SL0432	
SL1624	sapC
SL3767	
SL3822	pstA
SL2118	fbaB
SL1514	steA
SL0764	hutI
SL2316	yfcE
SL2948	queF
SL1315	orf245
SL0256	gloB
SL2516	hcaT
SL1669	yciI
SL0589	ybdD
SL2554	
SL2725	
SL2743	
SL2978	comN
SL3004	STM325.1N
SL3360	yhdU
SL3641	sgbU
SL3736	
SL2279	menF
SL0360	yahN
SL0937	asnCa
SL1920	dcm
SL3361	
SL2655	ppnK
SL1682	hns
SL2723	
SL3673	yibD
SL4081	murB
SL4518	sthE
SL0684	kdpE
SL1442	dcp
SL0042	
SL3449	gph
SL3043	yggB
SL4285	psd
SL4420	
SL1711	pth
SL2913	cysN
STnc3060	
SL4434	
SL1107	mviN
SL1797	pagM
SL4387	mgtA
SL2993	ygeA
SL1799	pagK
SL0900	ycaJ
SL0926	
SL2989	galR
SL0268	sciI
SL2575	
SL4046	
SL4025	ydeZ
SL1142	ycfF
SL4200	yjcC
SL0371	sbmA
SL2492	
SL3288	yrbI
SL4441	
SL0852	rimK
SL2180	nfo
STnc1600	
SL3695	radC
SL2696	
SL2153	
SL2340	div
SL0414	pgpA
SL2371	glk
SL3580	yhjK
SL2605	nadB
SL3858	yifA
SL3617	
SL1015	helD
SL3021	fldB
SL1786	
SL1034	copS
SL3598	
SL0859	rumB
SL1344	
SL1246	osmE
SL0499	tesA
SL1502	yddG
SL4307	yjfL
SL1670	cls
SL1324	orf242
SL1123	rluC
SL3875	trxA
SL3322	
SL4040	hslU
SL2106	yegB
SL4343	ytfN
SL3529	livH
SL4400	yjgD
IsrP	
SL1250	celD
SL2131	mrp
SL0613	citA
SL1093	yceA
STnc4100	
SL1658	trpA
SL4064	pflC
SL1088	mdoH
SL0247	yaeE
SL2399	ptsJ
SL4466	
SL0819	pflF
SL3225	agaR
SL1073	ycdX
SL1209	
SL3196	ygjR
SL2414	hemF
SL3747	
SL3803	recF
SL0631	cobC
SL0673	
SL0675	fur
SL3750	
STnc4190	
SL1934	
SL0685	kdpD
SL3148	parC
SL0588	cstAa
SL3926	aarF
SL3680	rfaK
SL2943	gudT
SL3252	mtr
SL3009	
SL2526	yfhK
SL3823	pstC
SL1536	
STnc1300	
STnc1030	
SL0147	ampE
SL1327	ssaB
SL2659	yfjG
SL4038	menG
SL1882	dcyD
SL2481	engA
SL3111	uxaC
SL1894	yedE
SL2552	
SL4249	
SL2234	alkB
SgrS	
SL0037	
SL1689	narI
SL1189	
SL4497	deoD
SL3548	acpT
SL0921	msbA
SL2796	proX
SL2622	rluD
SL0023	bcfC
SL1570	ydcF
SL2163	
SL1576	ydbH
SL3011	
SL1509	narY
SL1795	
SL3997	rhaS
SL2529	yfhD
SL3916	yigL
SL1009	ycbG
SL0444	lon
SL0472	
SL4146	
SL4371	
SL4233	adi
SL3481	malP
SL3720	rhuM
STnc3240	
SL0592	ybdM
SL1074	ycdY
SL0687	kdpB
SL2597	recEb
SL4398	yjgK
SL3336	yhcP
SL0999	ycbW
SL1821	hexR
SL1336	sseE
SL2658	rnfH
SL0556	pheP
SL4162	yjbA
SL1585	ydaO
SL3106	
SL2370	yfdZ
SL0809	ybiP
SL3296	ptsO
IsrI	
SL3607	yhjY
SL1988	
SL4126	
SL2704	
SL3787	torD
SL1200	
SL2479	sinH
SL1306	sufD
SL3656	sadA
SL0316	phoE
SL2374	
SL4362	iolD
SL1035	copR
STnc1990	
SL2444A	ypfM
SL1441	ydfG
STnc3230	
STnc3070	
SL0874	poxB
STnc3460	
SL0916	ycaL
SL1790	
SL2319	yfcH
SL3614	yiaG
SL0603	ybdR
SL4414	idnD
SL1480	
SL1188	
SL0594	ybdO
SL3908	yigG
SL0833	
IsrO	
SL3573	yhjD
SL0031	
SL3499	
SL4447	yjiN
SL4335	ytfH
SL1788	
SL1540	ydcK
SL1928	
SL0583	entC
SL4520	sthB
SL1086	mdoC
SL2775	gabD
SL4134	
SL0787	ybhN
SL1275	
SL1198	
SL2449	
SL1914	mngB
SL2368	
SL0545	fimW
SL3061	
SL0887	
SL0373	yaiY
STnc880	
SL1305	sufC
SL0671	
SL1308	ynhA
SL0749	gpmA
SL0015	
SL4181	qor
SL0270	sciJ
SL2349	yfcL
SL3515	
SL4033	fpr
SL2801	
SL1782	pphA
SL4313	yjfP
SL4449	
SL0380	adrA
SL3797	dgoR
SL0547	
SL1473	pqaA
SL0379	psiF
SL1152	ycfS
SL1668	tonB
SL3795	dgoA
SL0286B	
SL0035	
SL0431	
SL4399	argI
STnc1280	
SL1982	
STnc3830	
SL0054	citA2
SL0757	ybhT
SL2176	cirA
STnc1640	
SL1587	zntB
SL4501	
STnc4140	
ChiX	
STnc2090	
SL2676	
SL2685	
SL0608	citX
SL2679	gpW
SL3328	
SL4151	
SL1978	
SL2042	
SL2369	lpxP
SL4356	iolE
STnc4110	
SL2887	
SL3605	lpfB
SL0279	sciR
SL4288A	yjeV
SL2344	
SL3241	yraR
STnc470	
SL1873	
SL1725	ymgE
SL1332	sseBa
SL1756	
SL1560	
SL2284	yfbK
SL0790	ybhQ
SL0356	
STnc3310	
STnc3490	
SL1404	ompN
SL2999	
STnc4260	
SL2759	iroC
SL0345	
SL4117	metA
SL0358	
STnc4160	
SL1740	ycgM
SL3843	asnCb
SL1481	
SL1520	yncB
SL2101	alkA
SL0886	
SL0571	ybdK
STnc1110	
SL3911	pldA
SL1863	otsB
SL3487	
SL0016	
STnc3870	
STnc3600	
SL3416	yheL
SL0202	
SL0800	ybiI
SL0221	dxr
SL1017	yccT
SL0990	
SL0329	
SL1304	sufB
SL0593	ybdN
STnc4120	
SL2506	yfhP
SL0888	
SL3005	STM326
SL1562	
SL0550	
SL1196	
AmgR	
SL1832	yebB
SL2423	eutH
STnc790	
SL0834	
SL1533	yncJ
SL2109	
STnc740	
SL0022	bcfB
SL4116	yjaB
SL0576	entF
SL3333	yhcN
SL3127	yqhA
SL1377	slyB
SL2076	wcaM
SL4413	idnO
SL1474	
SL1699	chaA
STnc1700	
SL1151	ycfR
STnc1530	
STnc400	
SL1032	
SL1309	ynhG
SL2664	
SL4397	
SL2467	
SL0376	
SL1519	yncC
SL3935	fadA
STnc150	
SL2415	
SL3500	
SL4122	iclR
4.5S	
SL1149	ycfJ
STnc3610	
SL1242	astE
SL2175	
SL1627	
SL3663	
SL2215	
SL0992	
SL1444	ydeJ
SL0940	
SL2219	
SL1629	
STnc750	
SL0086	yabF
SL1747	fadD
SL1801	
SL2376	mntH
SL0515	allP
STnc3580	
STnc4210	
SsrS	
SL0278	sciQ
SL2819	norR
SL1958	
SL1076	csgG
SL1714	hyaA
SL3438	yhfG
SL2673	
SL3907	yigF
SL0344	
SL1567	
SL3988	yiiG
SL1430	ynfD
SL1696	ychP
ArcZ	
SL2469	
SL0815	ybiV(2)
SL0072	caiC
SL1479	
SL2753	
SL3513	
SL0799	ybiJ
SL0357	
SL4332	ytfE
STnc980	
SL3214	tdcD
SL0789	ybhP
SL0552	ykgC
SL1095	yceJ
STnc3960	
STnc1330	
SL1139	ycfH
SL2510	asrA
SL1781	yebW
SL0323	
SL2776	gabT
SL3205	yqjG
STnc1820	
OxyS	
SL3188	yqjI
SL0465	maa
SL0743	dcoC
SL1551	
SL4427A	
SL1208	
SL4329	ytfB
SL1777	yebS
SL3623	yiaH
SL1094	yceI
SL0495	ybbL
STnc380	
STnc3420	
SL1356	ssaU
SL0018	chiA
SL3722	rmbA
SL0573	fepA
SL0741	
SL3971	yihW
SL4383	
SL1141	fhuE
SL0590	ybdH
SL0742	
SL2139	yohO
IstR-1,2	
STnc3100	
STnc3500	
SL3744	
SL0598	
SL0688A	kdpF
SL4417	
STnc3860	
SL2773	csiD
SL0241	yaeJ
SL1401	tus
STnc3300	
SL0581	ybdA
SL3010	
SL0170	gcd
STnc1290	
SL2369A	ypdK
SL0273	
SL1028	
SL0490	
IsrH_1_2	
SL1431	ynfC
SL3899A	
SL1605	
SL3796	dgoK
SL1291	ydiF
STnc3110	
SL1517	
STnc3800	
SL0197	stfC
SL2719	
SL0109	yabN
SL1476	
STnc340	
SL3645	aldB
SL1175	rluB
SL3335	yhcO
SL2754	
SL1660	yciF
SL1927B	
SL2595	
SL1241	astB
SL2536	
SL4052	
SL3518	yhhA
STnc3140	
STnc3250	
SL0331	stbE
SL2757	hin
SL2220	
SL2787	
SL3128	
SL3900	yifL
SL1607	
SL3133	exbB
SL3191	oat
SL2089	wcaD
STnc1760	
SL1738	
SL3653	
SL1096	yceO
SL1403	
SL1716	hyaC
SL2640	
SL3638	yiaO
SL4445A	
SL0575	ybdZ
SL4154	
STnc1010	
STnc3440	
SL3896	
SL1580	
SL2256	sseL
SL0622	ybeF
STnc3750	
SL2126	stcD
SL0991	sseI
SL0178	stiA
SL0196	stfA
SL2549	
sRNA10	
SL1238	argDa
SL1661	yciE
SL4009	cpxP
SL2662	
SL2373	
STnc930	
SL2174	
SL4523	
SL1494	yddX
SL3743	
SL0192	fhuA
SL3132	exbD
SL3987	
SL0384	yaiA
SL3867	
SL0830	
SL1635	
SL0860	
SL1278	
STnc310	
SL2305	
SL3204	yqjF
SL1913	yodD
SL0081	
SL2282	elaC
OmrA	
SL2663	
SL1239	astA
SL1811	
SL0572	entD
SL1203	
SL2343	
SL2774	ygaF
SL4403	yjgM
SL0100	
SL4502	
STnc870	
SL1424	
SL0829	bssR
SL4084	
SL0467	ybaJ
SL2355	yfcN
SL3572	yhjC
SL2793	nrdF
SL4170	ubiC
SL0996	gtgF
STnc1710	
SL3251	
SL0754	
SL1370	ydhL
SL1662	katN
SL1645	cysB
SL0354	
SL0342	
STnc1160	
SL0334	stbB
SL0335	stbA
SL0543	fimY
SL0612	citC
SL2383	
SL4256	
SL4500	stjC
sRNA12	
SL1240	astD
SL4328	yifZ
STnc3160	
RybA	
SL4051	
SL0463	rpmJa
STnc3040	
SL2185	STM228
SL2781	
SL4003	
SL4119	aceA
SraL	
SL2134	
SL0466	hha
IsrJ	
SL3962	ompL
STnc3120	
SL3525	phd
SL4478	yjjQ
SL0642	ybeQ
STnc1410	
SL4118	aceB
SL3606	lpfA
SL4018	
SL0995	gtgE
SL2116	
SL1598	
SL3899	
SL3524	kil
SL1741	ycgL
SL3655	
SL3918	metR
MicF	
SL2792	nrdE
STnc4010	
SL1600	
SL0554	ykgB
SL2518	hmpA
STnc4150	
SL1059	ymdF
SL0083A	
STnc2080	
SL0029	
SL2780	yqaE
SL1251	celF
SL1927A	
SL0736	ybgS
SL0739	
SL1830	
SL3959	
SL1596	
SL0017	
SL3134	
SL2885A	
SL2147	yohC
SL2197	yejG
STnc3740	
SL3297	yrbL
SL4152	
RprA	
SL0430A	
SL1443	
SL1830A	
STnc850	
SL3866	
SL0030	
STnc3210	
SL1303	sufA
SL0453	ybaO
STnc1220	
SL3325	
SL2762	iroN
SL0993	
STnc1870	
SL1736	
SL0553	
SL0084	
SL1294	ydiN
RyeF	
SL1161	sifA
SL3717	
SL2629	yfiR
SL0462	rpmE2
SL2367	pgtP
SL2844	sitD
SL2661	bapA
SL3056	
STnc1890	
SL4481	fhuF
SL0994	
SL4120	aceK
SL2791	nrdI
STnc4000	
RybB	
SL3037	ygfA
MicA	
SL3187	yqjH
SL2758	iroB
SL2113	sseK2
STnc4080	
SL1659	yciG
SL3411	bfd
SL3338	yhcR
SdsR	
SL2790	nrdH
SL2843	sitC
SL2842	sitB
STnc2030	
SL0832	
SL2840	ygbA
SL4199	yjcB
SL0582	fepB
SL0580	fepD
SL1922	
RyhB-1	
SL1280	ydiE
SL2841	sitA
RyhB-2	
SL4483	
STnc3920	
SL0574	fes
C0664	
IsrB-2	
IsrD	
IsrN	
IsrQ	
SL0056	
SL0070	caiE
SL0099A	
SL0109A	sgrT
SL0155	
SL0177	stiB
SL0199	stfE
SL0201	stfG
SL0264	sciE
SL0271	sciK
SL0277	sciP
SL0285	sciW
SL0347	
SL0456	glnK
SL0524	ylbF
SL0537	fimI
SL0564	manX
SL0610	citE
SL0611	citD
SL0637	
SL0698	
SL0744	dcoA
SL0745	dcoB
SL0772	bioF
SL0885	tnp
SL0944	
SL0954	
SL0959	ninG
SL0965A	
SL0967	
SL1045	hpaI
SL1055	scsD
SL1166	
SL1288	ydiQ
SL1414A	ydgU
SL1547	
SL1719	hyaF
SL1746	tnpA_1a
SL1798	
SL1804	
SL1805	
SL1874A	
SL1886	tnpA_2b
SL1927	
SL1954	
SL1955	rzpR
SL1980	
SL1985	
SL2015	pduB
SL2017	pduD
SL2020	pduH
SL2021	pduJ
SL2024	pduM
SL2027	pduP
SL2029	pduS
SL2030	pduT
SL2031	pduU
SL2032	pduV
SL2045A	yoeI
SL2084	gmm
SL2186	STM229
SL2212	
SL2213	
SL2218	
SL2223A	ccmG2
SL2223B	ccmF2
SL2223C	ccmE2
SL2223D	ccmD2
SL2223E	ccmC2
SL2223F	ccmB2
SL2224	ccmA2
SL2424	eutG
SL2427	eutN
SL2434	tnpA_1b
SL2470	
SL2550	
SL2571	
SL2580	
SL2581	
SL2598	
SL2635	cIIb
SL2636	
SL2637	
SL2638	
SL2667	gpU
SL2669	gpE'
SL2671	
SL2681	
SL2682	
SL2683	
SL2684	
SL2686	nucD2
SL2687	nucE2
SL2688	
SL2689	
SL2690	
SL2703	
SL2707	apl
SL2720	
SL2735	
SL2737	
SL2740	hxlB
SL2828	hycF
SL2832	hycB
SL2883	
SL2900	
SL2902	
SL2921	
SL2934	
SL3072	yqgF
SL3118	hybF
SL3172A	ibsC
SL3227	
SL3267	tnpA_1c
SL3446	tnpA_1d
SL3640	sgbH
SL3642	sgbE
SL3737	
SL3756	uhpA
SL3780	ccmG1
SL3781	ccmF1
SL3782	ccmE1
SL3782A	ccmD1
SL3783	ccmC1
SL3784	ccmB1
SL3785	ccmA1
SL3807	rnpA
SL3826	
SL3995	rhaA
SL4100	thiS
SL4132	
SL4137	
SL4138	
SL4159	yjbF
SL4160	yjbG
SL4189	
SL4317	sgaB
SL4354A	
SL4395	
STnc1040	
STnc3080	
STnc490	
