gene	common
STnc2100	
SL0869	
SL1092	htrB
SL1214	yeaN
SL0069	caiF
SL1347	ssaM
SL3913	rhtC
SL3701	yicC
SL0293	
SL2522	yjdL
SL4010	fieF
SL2396	crr
SL0913	ycaP
SL4344	ytfP
SL1584	
SL2157	
SL2607	srmB
SL0555	
SL1037	hpaC
SL3860	comM
SL0663	nagD
SL2198	bcr
SL2804	yqaA
SL0507	ybbS
SL2104	yegN
SL4453	
SL4070	argE
SL1541	rimL
SL2181	fruA
SL2466	
SL2642	gpF
SL4365	iolI2
STnc4240	
SL3846	yieN
SL3445	bigA
SL4145	
SL1330	ssaE
STnc3410	
SL2137	yehU
SL1355	ssaT
SL2970	argA
SL2591	gpO
SL0272	
SL4373	
SL2372	
SL0470	acrR
SL0182	panC
SL2184	setB
SL4024	ydeY
SL0883	clpS
STnc3170	
SL0919	himD
SL3516	
SL0752	galT
SL0867	artP
SL0368	yaiU
SL1259	
SL0087	kefC
SL1652	yciO
SL1261	pfkB
SL0348	
SL3226	gatY
SL0375	ddlA
SL2628	aroF
SL3611	yiaD
SL0964	
SL3166	
SL0303	sciZ
SL2553	
SL0262	sciC
SL0599	
SL1720	appC
SL2821	norW
SL2830	hycD
SL3006	stdC
SL3457	comC
SL4435	
SL0077	fixB
SL1318	ttrC
SL1970	
SL2082	cpsB
SL2345	
SL2551	
SL2700	
SL2729	
SL2891	
SL3996	rhaB
SL4438	trpS2
SL0429	yajQ
SL1636	yciT
GlmZ	
SL2618	kgtP
SL3164	ygiE
SL0314	frsA
SL3145	ygiK
SL2260	yfaW
SL4352	iolT2
STnc1510	
SL2756	fljB
SL0857	potI
SL0001	thrL
SL4377	
SL1262	ydiY
SL2657	smpA
SL3999	rhaT
SL0519	ylbA
SL3308	nanK
SL2382	xapR
SL2111	
SL1365	ydhD
SL3242	yhbO
SL0486	fsr
SL0619	
SL3447	yhfL
SL0648	hscC
SL0150	aroP
SL0568	ramR
SL1051	cbpA
SL0020	
SL2521	cadA
SL3375	fmu
SL2130	yehE
SL2745	
SL2653	
SL0014	
SL0088	folA
SL3327	ttdA
SL0459	ybaY
SL2468	
SL3726	slsA
SL4346	
SL1683	galU
SL2738	
SL1695	narL
STnc3760	
SL1273	
InvR	
SL1292	aroD
SL0353	res
STnc2130	
SL1728	ldcA
SL3936	fadB
SL1438	ydfI
SL4358	srfJ
SL3938	yigZ
SL3910	yigI
SL0706	
SL1721	appB
SL4519	sthD
STnc780	
SL2105	yegO
SL0366	prpE
STnc3880	
SL3728	mgtB
SL0601	
SL2531	yfhB
SL1619	pspB
SL3745	
SL0606	citT
SL2204	yejL
SL4206	
SL1583	
SL3217	tdcA
SL0924	ycaR
SL0267	sciH
SL0569	ramA
SL3727A	mgtR
SL3934	
SL1457	
SL1680	adh
SL0506	ybbB
